Google Click ID,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
CjwKCAiA9dGqBhAqEiwAmRpTC4muDmgSR1KKhde1jreUzdAdQlFCZytnMBqa_ozTojMascSWPunkHhoCdA4QAvD_BwE,CRM_Purchase,2023-11-15 15:06:41 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-15 18:28:04 +06 Asia/Almaty,0,KZT
null,CRM_Purchase,2023-11-15 18:28:05 +06 Asia/Almaty,0,KZT
EAIaIQobChMIze3J0LLGggMVXwWiAx1wFg5ZEAAYASAAEgIZAfD_BwE,CRM_Purchase,2023-11-15 22:12:47 +06 Asia/Almaty,0,KZT
EAIaIQobChMIze3J0LLGggMVXwWiAx1wFg5ZEAAYASAAEgIZAfD_BwE,CRM_Purchase,2023-11-15 22:12:48 +06 Asia/Almaty,0,KZT
CjwKCAiA9dGqBhAqEiwAmRpTC88oyv0YJjvC3ZucpNy-qQLmDhZmhV0v6t2aZoiZWlpw3pP_M1afcRoCBYsQAvD_BwE,CRM_Purchase,2023-11-16 00:45:26 +06 Asia/Almaty,0,KZT
CjwKCAiA9dGqBhAqEiwAmRpTC88oyv0YJjvC3ZucpNy-qQLmDhZmhV0v6t2aZoiZWlpw3pP_M1afcRoCBYsQAvD_BwE,CRM_Purchase,2023-11-16 00:45:27 +06 Asia/Almaty,0,KZT
EAIaIQobChMIiNf_rNfHggMVlRCiAx1-IAdiEAAYASAAEgLEg_D_BwE,CRM_Purchase,2023-11-16 10:29:23 +06 Asia/Almaty,0,KZT
EAIaIQobChMIiNf_rNfHggMVlRCiAx1-IAdiEAAYASAAEgLEg_D_BwE,CRM_Purchase,2023-11-16 10:29:23 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyZjylYbIggMVbxeiAx2LwACOEAAYASAAEgJd4vD_BwE,CRM_Purchase,2023-11-16 13:59:50 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyZjylYbIggMVbxeiAx2LwACOEAAYASAAEgJd4vD_BwE,CRM_Purchase,2023-11-16 13:59:51 +06 Asia/Almaty,0,KZT
EAIaIQobChMIueDLrqLIggMVpACiAx1nEwMGEAAYASAAEgIrRvD_BwE,CRM_Purchase,2023-11-16 16:05:25 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyejn_aTIggMVvBiiAx2jkgFnEAAYASAAEgLr8vD_BwE,CRM_Purchase,2023-11-16 16:16:49 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyejn_aTIggMVvBiiAx2jkgFnEAAYASAAEgLr8vD_BwE,CRM_Purchase,2023-11-16 16:16:49 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyejn_aTIggMVvBiiAx2jkgFnEAAYASAAEgLr8vD_BwE,CRM_Purchase,2023-11-16 16:16:50 +06 Asia/Almaty,0,KZT
EAIaIQobChMIyejn_aTIggMVvBiiAx2jkgFnEAAYASAAEgLr8vD_BwE,CRM_Purchase,2023-11-16 16:16:50 +06 Asia/Almaty,0,KZT
EAIaIQobChMIpcbJnbXIggMVjBiiAx3adgILEAAYASAAEgJVDPD_BwE,CRM_Purchase,2023-11-16 17:29:47 +06 Asia/Almaty,0,KZT
EAIaIQobChMIpcbJnbXIggMVjBiiAx3adgILEAAYASAAEgJVDPD_BwE,CRM_Purchase,2023-11-16 17:29:47 +06 Asia/Almaty,0,KZT
EAIaIQobChMIpcbJnbXIggMVjBiiAx3adgILEAAYASAAEgJVDPD_BwE,CRM_Purchase,2023-11-16 17:29:47 +06 Asia/Almaty,0,KZT
